land,neutral,negative,positive
türkei,6810,1297,331
polen,6091,2838,898,
rumänien,2688,480,65,
griechenland,3641,1388,2686
kroatien,3258,995,211
bulgarien,2537,1110,73
afghanistan,2931,567,107
russland,1940,6254,57
serbien,4779,1188,55
portugal,4200,397,137
frankreich,3947,2949,113,
china,3280,2465,1627,
vietnam,2723,609,340,
pakistan,860,1351,67,
irak,1761,803,317,
niederlande,5809,1252,289,
oesterreich,4144,281,37,
bosnien,1921,992,154,
spanien,2935,2335,835,
ukraine,2019,721,426,
syrien,2613,1020,174,
italien,2732,1483,2041,
amerika,4111,1662,235,
england,3779,3779,1482,
schweiz,6411,253,46,
arabisch,2289,1265,759,
afrika,2545,660,200,
iran,2719,907,253,
indien,4293,2433,1337,
israel,4367,928,39,
deutschland,9165,2923,1074,
